"filename", "language", "TypeScript", "Handlebars", "comment", "blank", "total"
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\storageProvider\models\IStorageProvider.ts", "TypeScript", 4, 0, 0, 1, 5
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\errors\AppError.ts", "TypeScript", 9, 0, 0, 4, 13
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\http\routes\index.ts", "TypeScript", 16, 0, 1, 4, 21
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\http\server.ts", "TypeScript", 32, 0, 2, 9, 43
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\typeorm\index.ts", "TypeScript", 2, 0, 0, 2, 4
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\typeorm\migrations\1606847561545-CreateAppointments.ts", "TypeScript", 43, 0, 1, 3, 47
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\typeorm\migrations\1607031646695-CreateUser.ts", "TypeScript", 47, 0, 1, 3, 51
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\typeorm\migrations\1607040062784-ChangeProviderFieldToProviderId.ts", "TypeScript", 42, 0, 2, 6, 50
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\typeorm\migrations\1607530987976-AddAvatarFieldsToUser.ts", "TypeScript", 17, 0, 0, 3, 20
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\typeorm\migrations\1611335498272-CreateUserTokens.ts", "TypeScript", 53, 0, 0, 3, 56
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\infra\typeorm\migrations\1611695597701-AddUserIdToAppointments.ts", "TypeScript", 34, 0, 0, 5, 39
"Total", "-", 2144, 19, 47, 633, 2843
